"MP Name","Constituency","State","House","Allocated Amount (₹)","Total Expenditure (₹)","Utilization %","Completed Works","Recommended Works","Completion Rate %","Unspent Amount (₹)","Transaction Count","Successful Payments","Pending Payments","Average Rating"
"Shri Harsh Vardhan Shringla (2025-31)","Nominated Rajya Sabha","West Bengal","Rajya Sabha",73500000,0,0,0,6,0,73500000,0,0,0,"N/A"
"Shri Gurwinder Singh Oberoi (2025-31)","Sitting Rajya Sabha","Jammu And Kashmir","Rajya Sabha",73500000,0,0,0,0,0,73500000,0,0,0,"N/A"
"Shri Anurag Sharma (2026-32)","Sitting Rajya Sabha","Himachal Pradesh","Rajya Sabha",49000000,0,0,0,0,0,49000000,0,0,0,"N/A"
"Shri Shivesh Kumar (2026-32)","Sitting Rajya Sabha","Bihar","Rajya Sabha",49000000,0,0,0,0,0,49000000,0,0,0,"N/A"
"Dr. Satish Poonia (2026-32)","Sitting Rajya Sabha","Rajasthan","Rajya Sabha",49000000,0,0,0,0,0,49000000,0,0,0,"N/A"
"Shri Sat Paul Sharma (2025-31)","Sitting Rajya Sabha","Jammu And Kashmir","Rajya Sabha",73500000,0,0,0,4,0,73500000,0,0,0,"N/A"
"Shri Sanjay Yadav (2024-30)","Sitting Rajya Sabha","Bihar","Rajya Sabha",186200000,0,0,0,54,0,186200000,0,0,0,"N/A"
"Shri Sanjay Bhatia (2026-32)","Sitting Rajya Sabha","Haryana","Rajya Sabha",49000000,0,0,0,1,0,49000000,0,0,0,"N/A"
"Shri Sana Sathish Babu (2026-32)","Sitting Rajya Sabha","Andhra Pradesh","Rajya Sabha",49000000,0,0,0,0,0,49000000,0,0,0,"N/A"
"Ms. Swati Maliwal (2024-30)","Sitting Rajya Sabha","Delhi","Rajya Sabha",147000000,0,0,0,3,0,147000000,0,0,0,"N/A"
"Shri Sajjad Ahmad Kichloo (2025-31)","Sitting Rajya Sabha","Jammu And Kashmir","Rajya Sabha",73500000,0,0,0,17,0,73500000,0,0,0,"N/A"
"Shri Ramrao Sakharam Wadkute (2026-32)","Sitting Rajya Sabha","Maharashtra","Rajya Sabha",49000000,0,0,0,0,0,49000000,0,0,0,"N/A"
"Shri Sujeet Kumar (2026-32)","Sitting Rajya Sabha","Odisha","Rajya Sabha",49000000,0,0,0,35,0,49000000,0,0,0,"N/A"
"Shri Ram Nath Thakur (2026-32)","Sitting Rajya Sabha","Bihar","Rajya Sabha",65673638.730000004,0,0,0,33,0,65673638.730000004,0,0,0,"N/A"
"Shri Rajneesh Kumar Agrawal (2026-32)","Sitting Rajya Sabha","Madhya Pradesh","Rajya Sabha",49000000,0,0,0,0,0,49000000,0,0,0,"N/A"
"Shri Rajinder Gupta (2025-28)","Sitting Rajya Sabha","Punjab","Rajya Sabha",49000000,0,0,0,0,0,49000000,0,0,0,"N/A"
"Shri Rajeev Kumar (2026-32)","Sitting Rajya Sabha","West Bengal","Rajya Sabha",49000000,0,0,0,0,0,49000000,0,0,0,"N/A"
"Shri Praveen Chakravarthy (2026-28)","Sitting Rajya Sabha","Tamil Nadu","Rajya Sabha",49000000,0,0,0,1,0,49000000,0,0,0,"N/A"
"Shri Pramod Boro (2026-32)","Sitting Rajya Sabha","Assam","Rajya Sabha",49000000,0,0,0,0,0,49000000,0,0,0,"N/A"
"Shri Prakash Chik Baraik (2026-29)","Sitting Rajya Sabha","West Bengal","Rajya Sabha",49662892,0,0,0,0,0,49662892,0,0,0,"N/A"
"Shri Nitin Nabin (2026-32)","Sitting Rajya Sabha","Bihar","Rajya Sabha",49000000,0,0,0,0,0,49000000,0,0,0,"N/A"
